"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","†","-0.5","","-4.5","","-2.5","","20.5","","0.0","","0.0","","2.8","","2.6","","64","","","","",""
"2019-01-02","2019","01","02","†","0.5","","-2.5","","-1.0","","19.0","","0.0","","0.0","","51.2","","41.0","","64","","","","",""
"2019-01-03","2019","01","03","†","0.0","","-1.0","","-0.5","","18.5","","0.0","","16.8","","14.0","","60.2","","109","","","","",""
"2019-01-04","2019","01","04","†","2.5","","0.0","","1.3","","16.7","","0.0","","4.4","","0.0","","4.4","","106","","","","",""
"2019-01-05","2019","01","05","†","2.0","","0.0","","1.0","","17.0","","0.0","","0.0","","8.0","","5.4","","98","","","","",""
"2019-01-06","2019","01","06","†","1.5","","0.0","","0.8","","17.2","","0.0","","0.0","","1.0","","0.4","","100","","","","",""
"2019-01-07","2019","01","07","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","90","","","","",""
"2019-01-08","2019","01","08","†","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","15.8","","13.6","","89","","","","",""
"2019-01-09","2019","01","09","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","T","7.6","","15.4","","105","","","","",""
"2019-01-10","2019","01","10","†","1.5","","-3.0","","-0.8","","18.8","","0.0","","3.8","","0.0","","3.8","","110","","","","",""
"2019-01-11","2019","01","11","†","3.0","","0.0","","1.5","","16.5","","0.0","","1.2","","0.0","","1.2","","105","","","","",""
"2019-01-12","2019","01","12","†","2.0","","-0.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","103","","","","",""
"2019-01-13","2019","01","13","†","3.5","","-0.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","101","","","","",""
"2019-01-14","2019","01","14","†","0.5","","-3.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","99","","","","",""
"2019-01-15","2019","01","15","†","-1.0","","-7.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","98","","","","",""
"2019-01-16","2019","01","16","†","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","98","","","","",""
"2019-01-17","2019","01","17","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","3.2","","4.0","","98","","","","",""
"2019-01-18","2019","01","18","†","4.0","","-2.0","","1.0","","17.0","","0.0","","1.8","","1.4","","3.2","","102","","","","",""
"2019-01-19","2019","01","19","†","2.5","","0.0","","1.3","","16.7","","0.0","","5.6","","0.4","","6.0","","100","","","","",""
"2019-01-20","2019","01","20","†","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","98","","","","",""
"2019-01-21","2019","01","21","†","0.0","","-9.0","","-4.5","","22.5","","0.0","","0.0","","7.0","","3.4","","96","","","","",""
"2019-01-22","2019","01","22","†","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","23.0","","21.0","","104","","","","",""
"2019-01-23","2019","01","23","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","123","","","","",""
"2019-01-24","2019","01","24","†","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","1.0","","0.4","","119","","","","",""
"2019-01-25","2019","01","25","†","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","120","","","","",""
"2019-01-26","2019","01","26","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","118","","","","",""
"2019-01-27","2019","01","27","†","1.0","","-4.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","118","","","","",""
"2019-01-28","2019","01","28","†","2.5","","-6.5","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","113","","","","",""
"2019-01-29","2019","01","29","†","0.0","","-8.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","113","","","","",""
"2019-01-30","2019","01","30","†","2.0","","-7.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","113","","","","",""
"2019-01-31","2019","01","31","†","5.0","","0.0","","2.5","","15.5","","0.0","","5.0","","11.0","","24.8","","110","","","","",""
"2019-02-01","2019","02","01","†","2.5","","0.0","","1.3","","16.7","","0.0","","5.2","","2.0","","12.4","","120","","","","",""
"2019-02-02","2019","02","02","†","3.5","","0.0","","1.8","","16.2","","0.0","","0.0","","0.0","T","0.0","","117","","","","",""
"2019-02-03","2019","02","03","†","-11.0","","-14.0","","-12.5","","30.5","","0.0","","0.0","","3.6","","1.4","","115","","","","",""
"2019-02-04","2019","02","04","†","-10.0","","-16.5","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","112","","","","",""
"2019-02-05","2019","02","05","†","-8.0","","-16.5","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","112","","","","",""
"2019-02-06","2019","02","06","†","-6.0","","-17.5","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","112","","","","",""
"2019-02-07","2019","02","07","†","-3.0","","-13.0","","-8.0","","26.0","","0.0","","0.0","","1.0","","0.2","","111","","","","",""
"2019-02-08","2019","02","08","†","-3.5","","-13.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","112","","","","",""
"2019-02-09","2019","02","09","†","-8.0","","-12.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","112","","","","",""
"2019-02-10","2019","02","10","†","-11.0","","-16.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","112","","","","",""
"2019-02-11","2019","02","11","†","-9.0","","-17.0","","-13.0","","31.0","","0.0","","0.0","","0.0","T","0.0","","111","","","","",""
"2019-02-12","2019","02","12","†","-8.5","","-11.0","","-9.8","","27.8","","0.0","","0.0","","8.6","","4.8","","111","","","","",""
"2019-02-13","2019","02","13","†","-6.0","","-13.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","116","","","","",""
"2019-02-14","2019","02","14","†","-4.0","","-13.5","","-8.8","","26.8","","0.0","","0.0","","1.0","","0.2","","114","","","","",""
"2019-02-15","2019","02","15","†","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","3.0","","1.2","","115","","","","",""
"2019-02-16","2019","02","16","†","1.5","","-5.5","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","117","","","","",""
"2019-02-17","2019","02","17","†","1.0","","-9.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","116","","","","",""
"2019-02-18","2019","02","18","†","-0.5","","-13.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","115","","","","",""
"2019-02-19","2019","02","19","†","-0.5","","-5.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","115","","","","",""
"2019-02-20","2019","02","20","†","3.5","","-8.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","115","","","","",""
"2019-02-21","2019","02","21","†","1.0","","-12.0","","-5.5","","23.5","","0.0","","0.0","","2.0","","0.8","","114","","","","",""
"2019-02-22","2019","02","22","†","-1.0","","-4.0","","-2.5","","20.5","","0.0","","0.0","","14.0","","6.0","","116","","","","",""
"2019-02-23","2019","02","23","†","-0.5","","-7.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","127","","","","",""
"2019-02-24","2019","02","24","†","1.0","","-11.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","127","","","","",""
"2019-02-25","2019","02","25","†","-2.5","","-12.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","126","","","","",""
