,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
333,ALTA LAKE,BRITISH COLUMBIA,1040390,291,,,50.15,-122.95,500900000,-1225700000,667.5,1950,1976,1953.0,1976.0,1950.0,1976.0,1950.0,1976.0
334,ALTA LAKE NORTHAIR MINE,BRITISH COLUMBIA,1040400,292,,,50.12,-123.1,500700000,-1230600000,1005.8,1975,1987,,,1975.0,1987.0,1975.0,1987.0
335,ALTA LAKE 2,BRITISH COLUMBIA,1040420,293,,,50.15,-122.98,500900000,-1225900000,640.1,1931,1969,,,1931.0,1969.0,1931.0,1969.0
403,WHISTLER,BRITISH COLUMBIA,1048898,348,,WAE,50.13,-122.95,500744001,-1225717400,657.8,1976,2017,1983.0,2014.0,1976.0,2017.0,1976.0,2007.0
404,WHISTLER A,BRITISH COLUMBIA,1048899,52178,,WAE,50.13,-122.95,500744000,-1225717000,657.8,2014,2017,2014.0,2017.0,,,,
786,CALLAGHAN VALLEY (SKI JUMP TOP),BRITISH COLUMBIA,1100001,45487,,VOW,50.14,-123.11,500815000,-1230636060,936.0,2006,2010,2006.0,2010.0,2006.0,2010.0,,
804,WHISTLER - NESTERS,BRITISH COLUMBIA,1100875,43443,71687.0,VOC,50.13,-122.95,500744200,-1225716600,659.0,2005,2017,2005.0,2017.0,2005.0,2017.0,2005.0,2007.0
805,BLACKCOMB MOUNTAIN 1860,BRITISH COLUMBIA,1100879,715,,,50.1,-122.92,500600000,-1225500000,1860.9,1980,1994,,,1980.0,1994.0,1981.0,1990.0
806,BLACKCOMB BASE SLIDING CENTER,BRITISH COLUMBIA,1100881,45787,71756.0,VOI,50.1,-122.94,500608900,-1225610900,937.0,2007,2017,2007.0,2017.0,2007.0,2017.0,,
807,BLACKCOMB BASE SLIDING CENTRE BOTTOM,BRITISH COLUMBIA,1100882,47807,,VON,50.11,-122.94,500621007,-1225632001,816.6,2008,2010,2008.0,2010.0,2008.0,2010.0,,
808,WHISTLER MOUNTAIN TIMING FLATS,BRITISH COLUMBIA,1100883,47867,,VOT,50.09,-122.98,500530000,-1225849300,804.9,2009,2010,2009.0,2010.0,2009.0,2010.0,,
810,BLACKCOMB MOUNTAIN 1540,BRITISH COLUMBIA,1100Q7Q,700,,,50.1,-122.92,500600000,-1225500000,1540.2,1983,1994,,,1983.0,1994.0,1983.0,1994.0
828,CALLAGHAN VALLEY,BRITISH COLUMBIA,1101300,43500,71688.0,VOD,50.14,-123.11,500838059,-1230638010,884.0,2005,2017,2005.0,2017.0,2005.0,2017.0,2005.0,2007.0
829,CALLAGHAN VALLEY(BIATHALON),BRITISH COLUMBIA,1101310,45707,,VOY,50.15,-123.12,500850002,-1230656002,870.0,2007,2010,2007.0,2010.0,2007.0,2010.0,,
830,CALLAGHAN VALLEY BIATHLON HIGH LEVEL,BRITISH COLUMBIA,1101313,47835,,,50.01,-123.12,500032000,-1230707009,882.7,2009,2010,2009.0,2010.0,2009.0,2010.0,,
831,CALLAGHAN VALLEY CROSS COUNTRY HIGH LEVEL,BRITISH COLUMBIA,1101316,47834,,,50.14,-123.11,500834008,-1230623002,922.0,2009,2010,2009.0,2010.0,,,,
832,CALLAGHAN VALLEY LOW LEVEL,BRITISH COLUMBIA,1101318,47833,,,50.14,-123.12,500823002,-1230701003,838.0,2009,2010,2009.0,2010.0,2009.0,2010.0,,
833,CALLAGHAN VALLEY(SKI JUMP BOTTOM),BRITISH COLUMBIA,1101320,46967,,VOX,50.14,-123.11,500812600,-1230647300,860.0,2008,2010,2008.0,2010.0,2008.0,2010.0,,
1045,WHISTLER ROUNDHOUSE,BRITISH COLUMBIA,1108906,924,,,50.07,-122.95,500404000,-1225650000,1835.0,1972,2017,,,1972.0,2017.0,1973.0,2007.0
1054,WHISTLER MOUNTAIN HIGH LEVEL,BRITISH COLUMBIA,1108987,43660,,VOA,50.08,-122.95,500437034,-1225646050,1639.97,2005,2010,2005.0,2010.0,2005.0,2010.0,2005.0,2007.0
1055,WHISTLER MOUNTAIN LOW LEVEL,BRITISH COLUMBIA,1108988,43680,,VOB,50.09,-122.98,500516053,-1225832031,933.13,2005,2010,2005.0,2010.0,2005.0,2010.0,2005.0,2007.0
1056,WHISTLER MOUNTAIN HIGH LEVEL REMOTE WIND,BRITISH COLUMBIA,1108989,44463,,VOH,50.07,-122.95,500427030,-1225649000,1690.0,2005,2010,2005.0,2010.0,2005.0,2010.0,,
1057,WHISTLER MOUNTAIN MID-STATION,BRITISH COLUMBIA,1108990,46307,,VOL,50.09,-122.96,500506000,-1225751000,1320.0,2007,2010,2007.0,2010.0,2007.0,2010.0,,
1099,BIRKENHEAD LAKE,BRITISH COLUMBIA,1110Q78,936,,,50.57,-122.65,503400000,-1223900000,715.1,1983,1985,,,1983.0,1985.0,1983.0,1985.0
