Date/Time,Year,Month,Day,Data Quality,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Mean Temp,Mean Temp Flag,Heat Deg Days,Heat Deg Days Flag,Cool Deg Days,Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2012-01-01,2012,1,1,,-1.4,,-6.4,,-3.9,,21.9,,0,,,M,,M,0.1,,91,,,,<31,
2012-01-02,2012,1,2,,2.9,,-2.3,,0.3,,17.7,,0,,,M,,M,7.6,,89,,,,<31,
2012-01-03,2012,1,3,,2.7,,-0.1,,1.3,,16.7,,0,,,M,,M,0.1,,85,,,,<31,
2012-01-04,2012,1,4,,4.2,,0.3,,2.3,,15.7,,0,,,M,,M,12.1,,85,,24,,32,
2012-01-05,2012,1,5,,2.6,,-0.8,,0.9,,17.1,,0,,,M,,M,0.1,,81,,14,,32,
2012-01-06,2012,1,6,,-0.6,,-3,,-1.8,,19.8,,0,,,M,,M,0,,,,,,<31,
2012-01-07,2012,1,7,,-0.6,,-2.9,,-1.8,,19.8,,0,,,M,,M,0,,,,,,<31,
2012-01-08,2012,1,8,,2.4,,-1.9,,0.3,,17.7,,0,,,M,,M,0.2,,,,,,<31,
2012-01-09,2012,1,9,,3.5,,-0.7,,1.4,,16.6,,0,,,M,,M,0.3,,,,16,,32,
2012-01-10,2012,1,10,,-0.5,,-8.5,,-4.5,,22.5,,0,,,M,,M,0.1,,82,,,,<31,
2012-01-11,2012,1,11,,0.5,,-9.4,,-4.5,,22.5,,0,,,M,,M,0.4,,82,,,,<31,
2012-01-12,2012,1,12,,3.8,,-6.2,,-1.2,,19.2,,0,,,M,,M,0.1,,81,,,,<31,
2012-01-13,2012,1,13,,0.7,,-6.4,,-2.9,,20.9,,0,,0,,,M,6.2,,77,,,,<31,
2012-01-14,2012,1,14,,-1.3,,-7.6,,-4.5,,22.5,,0,,0,,,M,3.4,,89,,,,<31,
2012-01-15,2012,1,15,,-3,,-12.1,,-7.6,,25.6,,0,,,M,,M,1.9,,100,,,,<31,
2012-01-16,2012,1,16,,-6.8,,-11.4,,-9.1,,27.1,,0,,,M,,M,1.4,,97,,,,<31,
2012-01-17,2012,1,17,,-9,,-21.2,,-15.1,,33.1,,0,,0,,,M,3.4,,102,,,,<31,
2012-01-18,2012,1,18,,-15.2,,-21.9,,-18.6,,36.6,,0,,,M,,M,0.8,,104,,,,<31,
2012-01-19,2012,1,19,,-12,,-20.7,,-16.4,,34.4,,0,,,M,,M,1.5,,101,,,,<31,
2012-01-20,2012,1,20,,-3.5,,-14.1,,-8.8,,26.8,,0,,0,,,M,1.7,,99,,,,<31,
2012-01-21,2012,1,21,,0.8,,-4.5,,-1.9,,19.9,,0,,0,,,M,0.4,,125,,16,,39,
2012-01-22,2012,1,22,,-0.7,,-3.5,,-2.1,,20.1,,0,,,M,,M,0,,127,,22,,35,
2012-01-23,2012,1,23,,-0.1,,-2.1,,-1.1,,19.1,,0,,,M,,M,0,,151,,14,,32,
2012-01-24,2012,1,24,,1.9,,-1.9,,0,,18,,0,,,M,,M,0,,159,,,,<31,
2012-01-25,2012,1,25,,2,,-2.3,,-0.2,,18.2,,0,,,M,,M,0.8,,172,,21,,32,
2012-01-26,2012,1,26,,-0.5,,-5.8,,-3.2,,21.2,,0,,0,,,M,16,,177,,,,<31,
2012-01-27,2012,1,27,,-2.5,,-6.4,,-4.5,,22.5,,0,,,M,,M,3.7,,167,,,,<31,
2012-01-28,2012,1,28,,-0.1,,-3.7,,-1.9,,19.9,,0,,,M,,M,0,,171,,,,<31,
2012-01-29,2012,1,29,,2.5,,-1.1,,0.7,,17.3,,0,,,M,,M,10.8,,171,,,,<31,
2012-01-30,2012,1,30,,2.1,,0,,1.1,,16.9,,0,,,M,,M,2.4,,156,,,,<31,
2012-01-31,2012,1,31,,2.1,,-0.6,,0.8,,17.2,,0,,0,,,M,21.1,,162,,,,<31,
2012-02-01,2012,2,1,,5.8,,-1.3,,2.3,,15.7,,0,,,M,,M,23.8,,169,,,,<31,
2012-02-02,2012,2,2,,3.8,,-1.2,,1.3,,16.7,,0,,,M,,M,1.1,,159,,,,<31,
2012-02-03,2012,2,3,,8,,-1.6,,3.2,,14.8,,0,,,M,,M,1,,156,,,,<31,
2012-02-04,2012,2,4,,7,,-1.9,,2.6,,15.4,,0,,,M,,M,0.5,,153,,,,<31,
2012-02-05,2012,2,5,,6,,-4,,1,,17,,0,,,M,,M,0.4,,154,,,,<31,
2012-02-06,2012,2,6,,8.3,,-2.8,,2.8,,15.2,,0,,,M,,M,0.3,,152,,,,<31,
2012-02-07,2012,2,7,,7.6,,-4,,1.8,,16.2,,0,,,M,,M,0,,152,,,,<31,
2012-02-08,2012,2,8,,4.7,,-2.6,,1.1,,16.9,,0,,,M,,M,5.2,,151,,,,<31,
2012-02-09,2012,2,9,,4.6,,0,,2.3,,15.7,,0,,,M,,M,4.1,,150,,,,<31,
2012-02-10,2012,2,10,,4.9,,0.8,,2.9,,15.1,,0,,,M,,M,12.3,,148,,,,<31,
2012-02-11,2012,2,11,,5.2,,0.7,,3,,15,,0,,,M,,M,2.8,,146,,,,<31,
